# Rime table
# coding: utf-8
#@/db_name	custom_phrase_double.txt
#@/db_type	tabledb
#
# 自定义短语
# 可为方案增加一些要置顶的词汇及短语，例如邮箱、手机号、常用短语等等。编码可以随便起，不限于拼音。
#
# 此文件，列出数千常用单字的自然码单辅编码，用于减少翻页，加快单字输入。
#
# 适用于双拼。全拼默认为 custom_phrase.txt ，且上面的 db_name 为 custom_phrase.txt
#
# 以 Tab 分割：词汇<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（即排在候选项的最前面，因为指定了高权重 custom_phrase/initial_quality: 99）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以只建议固定非完整拼音的编码，如果需求是置顶指定拼音的候选项，请参考方案中的 pin_cand_filter。
#
# 最下面的英文是因为一些常用单词的第一候选项被纠错覆盖了，如 Amazon 被纠错为「a ma zong 阿妈粽」，期望的 Amazon 跑到第二个候选项了，所以这里给它固定死喽。
#
# version: "2024-03-12"
#
# 此行之后不能写注释

#噷	hm
#呣	m
#呒	m

‖	shuangshuxian
“	shuangyinhao
”	shuangyinhao
衤	shuangyipang
《	shuminghao
》	shuminghao
忄	shuxinpang
#Ⅳ	si
#④	si
灬	sidianshui
Σ	sigma
σ	sigma
#$(YYYY)年$(MM)月$(DD)日 $(hh):$(mm):$(ss)	sj
#$(Year)-$(month)-$(day) $(Hour):$(minute):$(second)	sj
↑	sjt
△	sjx
▲	sjx
……	slh
…	slh
《	smh
》	smh
℃	ssd
『	ssmh
』	ssmh
‖	ssx
∴	suoyi
#[＋－＜＝＞±×÷∈∏∑∕√∝∞∟∠∣∥∧∨∩∪∫∮∴∵∶∷∽≈≌≒≠≡≤≥≦≧≮≯⊕⊙⊥⊿]	sxfh
【	sxkh
】	sxkh
“	syh
”	syh
#[⒈⒉⒊⒋⒌⒍⒎⒏⒐⒑⒒⒓⒔⒕⒖⒗⒘⒙⒚⒛]	szd
☼	taiyang
☀	taiyang
！	tanhao
❦	taozi
τ	tau
！	th
θ	theta
Θ	theta
牜	tiniupang
扌	tishoupang
T恤	tixu
#™	tm
冖 	tubaogai
T恤	txu
#[亻彳讠饣艹丶乛亠冖宀冫丷扌氵灬丨亅丿乚勹匚冂凵爫忄丬纟疒阝刂卩犭辶廴钅礻衤罒覀夂癶耂牜虍歺糹釒飠]	vpianpang
#[亻彳讠饣艹丶乛亠冖宀冫丷扌氵灬丨亅丿乚勹匚冂凵爫忄丬纟疒阝刂卩犭辶廴钅礻衤罒覀夂癶耂牜虍歺糹釒飠]	vpp
#[❶❷❸❹❺❻❼❽❾❿⓪]	vshuzi
#[❶❷❸❹❺❻❼❽❾❿⓪]	vsz
#[ⓐⓑⓒⓓⓔⓕⓖⓗⓘⓙⓚⓛⓜⓝⓞⓟⓠⓡⓢⓣⓤⓥⓦⓧⓨⓩ]	vzimu
#[ⓐⓑⓒⓓⓔⓕⓖⓗⓘⓙⓚⓛⓜⓝⓞⓟⓠⓡⓢⓣⓤⓥⓦⓧⓨⓩ]	vzm
℃	wd
？	wenhao
♨	wenquan
？	wh
★	wjx
☆	wjx
#Ⅴ	wu
#⑤	wu
★	wujiaoxing
☆	wujiaoxing
∞	wuxian
☁	wuyun
∞	wx
♀	xb
♂	xb
↓	xia
↓	xiajiantou
冂	xiakuang
↑	xiangshang
↓	xiangxia
→	xiangyou
←	xiangzuo
☺	xiaolian
☻	xiaolian
＜	xiaoyu
≤	xiaoyudengyu
＜	xiaoyuhao
/	xiegang
\	xiegang
∑	xigema
❤	xin
♥	xin
♀	xingbie
♂	xingbie
θ	xita
Θ	xita
↓	xjt
#$(WeekCn)	xq
#$(YYYY)年$(MM)月$(DD)日 $(WeekCn)	xq
#$(YearCn)年$(monthCn)月$(dayCn)日 $(WeekCn)	xq
❉	xuehua
✲	xuehua
❈	xuehua
☃	xueren
彐	xuezidi
#[абвгдежзийклмнопрстуфхцчшщъыьэюяё]	xxew
♂	xxfh
#[ⅰⅱⅲⅳⅴⅵⅶⅷⅸⅹ]	xxlm
#[ぁあぃいぅうぇえぉおかがきぎくぐけげこごさざしじすずせぜそぞただちぢっつづてでとどなにぬねのはばひびぴふぶぷへべぺほぼぽまみむめもゃやゅゆょよらりるれろゎわゐゑをん゛゜ゝゞ]	xxrw
#[αβγδεζηθικλμνξοπρστυφχψω]	xxxl
＜	xy
≤	xydy
→	xyjt
←	xzjt
讠	yanzipang
#￡	yb
·	yd
≈	ydy
#Ⅰ	yi
#①	yi
·	yidian
♪	yinfu
♬	yinfu
♩	yinfu
￡	yingbang
∵	yinwei
✚	yiyuan
→	yjt
（	ykh
）	ykh
→	you
☞	youbian
﹫	youjian
→	youjiantou
匚	youkuang
↗	youshang
↘	youxia
＠	youxiang
\	youxiegang
○	yq
●	yq
#[①②③④⑤⑥⑦⑧⑨⑩]	yqsz
↗	ysjt
·	yuandian
○	yuanquan
●	yuanquan
○	yuanzhou
≈	yuedengyu
☪	yueliang
☂	yusan
肀	yuzitou
\	yxg
↘	yxjt
ζ	zeta
±	zfh
㊣	zheng
±	zhengfuhao
＋	zhenghao
夂	zhewenpang
の	zhi
㈱	zhushihuishe
孑	zizipang
§	zjh
←	zjt
∑	zonghe
辶	zouzhipang
↖	zsjt
→	zuiyou
←	zuo
☜	zuobian
←	zuojiantou
↖	zuoshang
↙	zuoxia
/	zuoxiegang
↔	zuoyou
⻊ zuzipang
#[㈠㈡㈢㈣㈤㈥㈦㈧㈨㈩]	zwsz
/	zxg
↙	zxjt
#[ㄅㄆㄇㄈㄉㄊㄋㄌㄍㄎㄏㄐㄑㄒㄓㄔㄕㄖㄗㄘㄙㄧㄨㄩㄚㄛㄜㄝㄞㄟㄠㄡㄢㄣㄤㄥㄦ]	zyfh
#	❶	一简字·全部 1 码
啊	a
不	b
才	c
的	d
二	e
发	f
个	g
和	h
出	i
就	j
可	k
了	l
没	m
你	n
